face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
detected_faces\1000_face0.jpg,White,White,Male,20-29,"[9.7296685e-01 2.4754845e-04 3.8489730e-03 2.0944877e-04 6.6526333e-04
 1.7063295e-04 2.1891188e-02]",[9.9522144e-01 9.3279377e-04 3.2119227e-03 6.3379941e-04],[0.89086294 0.10913701],"[9.2061867e-07 1.2310654e-04 3.4439541e-02 6.3681388e-01 3.1028843e-01
 1.7847413e-02 4.7184562e-04 1.3921716e-05 9.5246105e-07]"
detected_faces\100_face0.jpg,East Asian,Asian,Female,20-29,"[6.0212024e-04 7.5765165e-06 2.6928907e-04 9.3519819e-01 6.3861884e-02
 1.3072477e-05 4.7929479e-05]",[3.5378273e-04 2.9120789e-05 9.9960506e-01 1.2077100e-05],[1.693906e-04 9.998306e-01],"[2.1573407e-05 1.4830324e-03 7.0082687e-02 6.1697572e-01 2.5430283e-01
 5.2552465e-02 4.1172537e-03 4.4310046e-04 2.1325732e-05]"
detected_faces\101_face0.jpg,Latino_Hispanic,Asian,Male,20-29,"[0.00865645 0.05135265 0.4477012  0.01630597 0.24363633 0.21994019
 0.01240718]",[0.036479   0.01591178 0.6581582  0.28945106],[0.998374   0.00162602],"[3.7033946e-08 1.1460450e-05 3.8403526e-02 7.9807723e-01 1.5920669e-01
 4.2570047e-03 4.3258238e-05 8.0129888e-07 3.6900190e-08]"
detected_faces\102_face0.jpg,White,White,Male,30-39,"[9.9268389e-01 8.3568902e-06 1.7956749e-04 3.3999950e-06 4.2055644e-06
 1.0598353e-05 7.1100933e-03]",[9.9954653e-01 2.4922725e-04 1.8484167e-05 1.8580964e-04],[9.9985766e-01 1.4239819e-04],"[4.2874930e-07 9.0684771e-06 2.8591212e-03 2.4972726e-01 5.7632202e-01
 1.6651307e-01 4.4347108e-03 1.2730755e-04 6.9508819e-06]"
detected_faces\103_face0.jpg,Indian,Indian,Male,50-59,"[2.0796157e-02 3.4741471e-03 5.7012953e-02 1.3656304e-05 1.3454069e-04
 5.3830940e-01 3.8025910e-01]",[7.5682066e-03 1.8113568e-02 4.5593508e-04 9.7386229e-01],[0.9933903  0.00660968],"[3.2399104e-05 5.1151022e-05 4.6151996e-04 9.7876380e-04 1.8014833e-02
 1.8373591e-01 5.6742096e-01 2.0905140e-01 2.0252999e-02]"
detected_faces\104_face0.jpg,Middle Eastern,Indian,Male,30-39,"[4.3711297e-02 2.8267228e-03 1.1310603e-01 2.7406561e-05 1.3065223e-04
 2.8935796e-01 5.5083996e-01]",[0.15777571 0.03059492 0.00120133 0.810428  ],[9.9997932e-01 2.0669051e-05],"[5.5956775e-07 8.3218501e-06 1.9155829e-03 4.0582025e-01 5.5222255e-01
 3.9331086e-02 6.8040204e-04 2.0419602e-05 8.1384172e-07]"
detected_faces\105_face0.jpg,East Asian,Asian,Male,40-49,"[1.1606774e-03 3.4381308e-05 3.5637215e-04 9.7911978e-01 1.9095620e-02
 5.0977349e-05 1.8225543e-04]",[7.3810777e-04 5.2823703e-05 9.9915725e-01 5.1766590e-05],[0.6365947  0.36340532],"[1.5915621e-05 2.8008100e-05 1.7456693e-03 7.5218312e-02 2.5914472e-01
 4.3206564e-01 1.7277822e-01 5.6543998e-02 2.4595195e-03]"
detected_faces\106_face0.jpg,Black,Black,Male,20-29,"[3.2144569e-06 9.9989665e-01 6.5148924e-05 5.5314094e-06 1.4478626e-05
 1.3819818e-05 1.2286272e-06]",[2.3042141e-06 9.9991333e-01 4.4959357e-05 3.9389062e-05],[0.9250973  0.07490266],"[0.00050962 0.02283845 0.15746948 0.30175376 0.24617098 0.2336701
 0.03573266 0.00153279 0.00032215]"
detected_faces\107_face0.jpg,White,Asian,Female,10-19,"[7.1767658e-01 5.9905346e-04 5.6804806e-02 1.0066574e-01 3.6296923e-02
 1.6838260e-03 8.6273104e-02]",[0.47722647 0.00157631 0.5200344  0.00116284],[0.07097975 0.9290202 ],"[1.01557074e-04 1.90172307e-02 4.67061996e-01 2.15090498e-01
 1.32249802e-01 9.21520963e-02 4.64416370e-02 2.40853205e-02
 3.79982498e-03]"
detected_faces\108_face0.jpg,Indian,Indian,Female,70+,"[0.02637441 0.0207898  0.12926893 0.01424059 0.1005142  0.6229576
 0.08585443]",[0.00164915 0.00096916 0.18286677 0.8145149 ],[0.40838227 0.5916177 ],"[2.9091447e-05 1.1501308e-04 2.3829247e-04 1.3346506e-04 3.8426460e-04
 2.2078212e-03 2.8107824e-02 2.9210675e-01 6.7667753e-01]"
